cancer	normal
ERR164558	ERR164478
ERR164559	ERR164479
ERR164560	ERR164480
ERR164561	ERR164481
ERR164567	ERR164485
ERR164570	ERR164488
ERR164574	ERR164491
ERR164577	ERR164492
ERR164578	ERR164493
ERR164579	ERR164494
ERR164580	ERR164495
ERR164582	ERR164496
ERR164584	ERR164498
ERR164585	ERR164499
ERR164588	ERR164506
ERR164589	ERR164507
ERR164590	ERR164508
ERR164595	ERR164512
ERR164597	ERR164513
ERR164601	ERR164516
ERR164602	ERR164517
ERR164604	ERR164519
ERR164606	ERR164521
ERR164609	ERR164524
ERR164610	ERR164525
ERR164611	ERR164526
ERR164612	ERR164527
ERR164613	ERR164528
ERR164615	ERR164530
ERR164618	ERR164533
ERR164619	ERR164534
ERR164620	ERR164535
ERR164621	ERR164536
ERR164623	ERR164538
ERR164630	ERR164545
ERR164631	ERR164546
ERR164632	ERR164547
ERR164633	ERR164548
ERR164634	ERR164549
ERR062334	ERR164500
ERR062335	ERR164501
ERR062336	ERR164502
ERR062337	ERR164503
ERR062338	ERR164504
ERR164550	ERR164473
ERR164551	ERR164474
ERR164552	ERR164475
ERR164554	ERR164476
ERR164556	ERR164477
ERR164563	ERR164482
ERR164565	ERR164483
ERR164566	ERR164484
ERR164568	ERR164486
ERR164569	ERR164487
ERR164571	ERR164489
ERR164573	ERR164490
ERR164583	ERR164497
ERR164587	ERR164505
ERR164591	ERR164509
ERR164593	ERR164510
ERR164594	ERR164511
ERR164599	ERR164514
ERR164600	ERR164515
ERR164603	ERR164518
ERR164605	ERR164520
ERR164607	ERR164522
ERR164608	ERR164523
ERR164614	ERR164529
ERR164616	ERR164531
ERR164617	ERR164532
ERR164622	ERR164537
ERR164624	ERR164539
ERR164625	ERR164540
ERR164626	ERR164541
ERR164627	ERR164542
ERR164628	ERR164543
ERR164629	ERR164544
